,acceptance,enrollment,graduation,retention,tuition
132,67.3,29833.0,66.0,85.0,27874.0
133,55.0,7683.0,68.0,93.0,39842.0
134,56.9,28952.0,70.0,88.0,18609.0
135,74.2,24518.0,68.0,85.0,29788.0
136,62.7,21005.0,70.0,87.0,35838.0
137,55.2,11159.0,78.0,87.0,35800.0
138,60.6,31288.0,72.0,87.0,28528.0
139,86.7,10316.0,74.0,88.0,34013.0
140,37.8,6652.0,63.0,85.0,39810.0
141,76.6,6947.0,66.0,83.0,28608.0
142,69.2,10017.0,67.0,85.0,40294.0
143,76.9,40223.0,61.0,78.0,27073.0
144,67.3,28034.0,58.0,81.0,21192.0
145,63.2,6838.0,67.0,81.0,38526.0
146,76.1,3604.0,71.0,87.0,40610.0
147,74.7,30647.0,63.0,84.0,25166.0
148,62.3,24966.0,68.0,86.0,33990.0
149,74.7,9956.0,74.0,87.0,31385.0
150,67.2,36744.0,66.0,88.0,24710.0
151,82.6,32388.0,59.0,86.0,24018.0
152,89.6,7647.0,65.0,85.0,24675.0
153,62.1,4652.0,62.0,86.0,41328.0
154,84.4,9830.0,67.0,82.0,35820.0
155,55.5,17316.0,64.0,85.0,18460.0
156,63.5,24537.0,60.0,83.0,19074.0
157,63.9,27875.0,58.0,80.0,25796.0
158,76.0,27679.0,67.0,83.0,25889.0
159,58.7,11023.0,61.0,78.0,37400.0
160,99.0,24378.0,58.0,81.0,21530.0
161,76.2,30225.0,67.0,84.0,25790.0
162,65.0,10575.0,65.0,81.0,40928.0
163,77.7,27402.0,64.0,81.0,19344.0
164,67.1,31798.0,62.0,85.0,25816.0
165,65.8,32961.0,66.0,86.0,28592.0
166,87.9,73378.0,57.0,82.0,23654.0
167,53.9,15946.5,65.0,82.0,22683.0
168,69.3,20365.0,60.0,82.0,16960.0
169,77.6,25544.0,62.0,79.0,20026.0
170,78.8,26393.0,60.0,83.0,23469.0
171,57.5,12011.0,61.0,86.0,27022.0
172,64.2,4008.0,75.0,83.0,28430.0
173,52.0,19727.0,64.0,84.0,30378.0
174,63.7,9944.0,54.0,82.0,27840.0
175,61.1,18794.0,58.0,82.0,17728.0
176,66.5,7859.0,66.0,81.0,30800.0
177,74.0,20706.0,71.0,84.0,20013.0
178,31.3,31597.0,67.0,86.0,17738.0
179,53.2,21087.0,59.0,78.0,37260.0
180,73.4,17999.0,48.0,80.0,20394.0
181,76.9,16451.0,63.0,81.0,28016.0
182,81.2,20426.0,56.0,79.0,27472.0
183,60.4,13637.0,61.0,85.0,21642.0
184,65.8,16294.0,54.0,80.0,19210.0
185,71.3,4203.0,70.0,84.0,25002.0
186,64.3,32467.0,62.0,82.0,19562.0
187,65.7,12420.0,56.0,79.0,19600.0
188,39.0,4973.0,59.0,83.0,35000.0
189,76.3,21242.0,52.0,78.0,23638.0
190,95.7,12903.0,54.0,74.0,14124.0
191,59.1,5384.0,55.0,77.0,36020.0
192,81.1,10901.0,59.0,78.0,27454.0
193,60.2,31752.0,57.0,85.0,28861.0
194,46.2,59767.0,65.0,87.0,22415.0
195,43.2,40111.0,57.0,88.0,17325.0
196,85.1,29707.0,56.0,79.0,19632.0
197,52.3,10184.0,63.0,85.0,32256.0
198,76.8,12772.0,58.0,78.0,38069.0
199,79.0,5574.0,62.0,76.0,29315.0
200,73.7,15250.0,54.0,77.0,17170.0
201,74.7,6302.0,65.0,85.0,32142.0
202,61.0,15379.0,50.0,75.0,19014.0
203,51.8,21869.0,54.0,72.0,22024.0
204,51.4,18847.0,50.0,66.0,24970.0
205,37.5,3551.0,59.0,79.0,25470.0
206,61.2,21053.0,57.0,79.0,23660.0
207,73.6,17286.0,58.0,74.0,18029.0
208,62.2,26947.0,58.0,80.0,19683.0
209,77.7,7636.0,47.0,77.0,21506.0
210,83.0,18227.0,54.0,79.0,20064.0
211,64.6,29033.0,46.0,77.0,11568.0
212,83.3,24598.0,56.0,74.0,24109.0
213,65.5,6238.0,55.0,72.0,38028.0
214,63.8,27626.0,58.0,77.0,23670.0
215,73.2,3064.0,53.0,78.0,24666.0
216,79.6,4117.0,53.0,80.0,30740.0
217,70.8,11304.0,47.0,76.0,18483.0
218,80.1,17651.0,44.0,72.0,19644.0
219,83.6,14443.0,53.0,78.0,17478.0
220,75.9,22396.0,45.0,73.0,21006.0
221,56.2,40747.0,46.0,81.0,20892.0
222,60.0,18172.0,54.0,77.0,20186.0
223,88.6,10284.0,51.0,75.0,10104.0
224,96.7,28786.0,50.0,72.0,17886.0
225,83.0,28172.0,52.0,77.0,17776.0
226,57.6,14660.0,49.0,74.0,20648.0
227,91.7,12583.0,56.0,76.0,9790.0
228,67.6,16019.0,48.0,73.0,22203.0
229,95.4,12479.0,48.0,73.0,22470.0
230,68.5,26232.0,53.0,78.0,18634.0
231,72.3,15982.75,60.0,72.0,28858.0
232,51.9,9070.0,35.0,64.0,28160.0
233,75.9,6516.0,53.0,76.0,25850.0
234,48.1,5421.0,35.0,72.0,17039.0
235,42.1,4641.0,43.0,68.0,25450.0
236,68.5,3419.0,39.0,64.0,21100.0
237,63.2,17525.0,34.0,65.0,12411.0
238,89.2,15133.0,41.0,70.0,15372.0
239,48.6,12057.0,40.0,80.0,17725.0
240,39.0,30038.0,41.0,79.0,21543.0
241,40.5,46261.0,49.0,82.0,18939.0
242,52.0,20574.0,50.0,79.0,19658.0
243,57.4,32092.0,51.0,83.0,28138.0
244,58.900000000000006,16000.875,30.0,61.0,17870.0
245,86.3,12114.0,43.0,62.0,17992.0
246,67.1,30451.0,38.0,72.0,29571.0
247,31.3,16009.9375,42.0,75.0,14576.0
248,88.3,14288.0,32.0,62.0,19631.0
249,94.7,2097.0,40.0,62.0,33400.0
250,66.9,25394.0,45.0,72.0,24070.0
251,57.6,7952.0,30.0,71.0,16632.0
252,29.8,16014.46875,20.0,41.0,18930.0
253,69.6,10636.0,42.0,75.0,16503.0
254,76.3,26002.0,49.0,73.0,21626.0
255,55.5,26808.0,42.0,70.0,25430.0
256,62.1,19740.0,43.0,73.0,25477.0
257,71.7,24670.0,49.0,80.0,24480.0
258,49.8,2809.0,27.0,61.0,24098.0
259,70.1,28731.0,39.0,72.0,22863.0
260,82.9,5863.0,33.0,73.0,15308.0
261,65.0,18461.0,49.0,74.0,19214.0
262,91.0,3807.0,34.0,64.0,18170.0
263,29.3,2516.0,38.0,73.0,20550.0
264,58.2,8775.0,35.0,65.0,20027.0
265,65.1,11187.0,36.0,68.0,17113.0
266,89.7,10508.0,40.0,62.0,18198.0
267,92.8,7234.0,32.0,59.0,17470.0
